Drone sẽ bay tới điểm (2, 2)

Time: 1.11s | Pos: (0.562974, 0.571576) | Pitch: -6.54741 | Roll: -6.61786
  PWM M1: 1500 | M2: 1486 | M3: 1499 | M4: 1513

Time: 1.14s | Pos: (0.596445, 0.605554) | Pitch: -6.60082 | Roll: -6.66952
  PWM M1: 1500 | M2: 1503 | M3: 1499 | M4: 1496

Time: 1.17s | Pos: (0.63093, 0.640556) | Pitch: -6.60212 | Roll: -6.6691
  PWM M1: 1500 | M2: 1500 | M3: 1499 | M4: 1499

Time: 1.2s | Pos: (0.666397, 0.67655) | Pitch: -6.38379 | Roll: -6.44911
  PWM M1: 1500 | M2: 1485 | M3: 1499 | M4: 1514

Time: 1.23s | Pos: (0.70285, 0.713541) | Pitch: -6.41594 | Roll: -6.47964
  PWM M1: 1500 | M2: 1502 | M3: 1499 | M4: 1497

Time: 1.26s | Pos: (0.740287, 0.751525) | Pitch: -6.39704 | Roll: -6.45914
  PWM M1: 1500 | M2: 1498 | M3: 1499 | M4: 1501

Time: 1.29s | Pos: (0.778672, 0.790465) | Pitch: -6.15891 | Roll: -6.21947
  PWM M1: 1500 | M2: 1484 | M3: 1499 | M4: 1515

Time: 1.32s | Pos: (0.818005, 0.830364) | Pitch: -6.17177 | Roll: -6.23082
  PWM M1: 1500 | M2: 1500 | M3: 1499 | M4: 1499

Time: 1.35s | Pos: (0.858282, 0.871214) | Pitch: -6.13404 | Roll: -6.19163
  PWM M1: 1500 | M2: 1497 | M3: 1499 | M4: 1502

Time: 1.38s | Pos: (0.899463, 0.912978) | Pitch: -5.87756 | Roll: -5.93372
  PWM M1: 1500 | M2: 1482 | M3: 1499 | M4: 1517

Time: 1.41s | Pos: (0.941548, 0.955653) | Pitch: -5.87253 | Roll: -5.92729
  PWM M1: 1500 | M2: 1499 | M3: 1499 | M4: 1500

Time: 1.44s | Pos: (0.984527, 0.999196) | Pitch: -5.81736 | Roll: -5.64075
  PWM M1: 1507 | M2: 1488 | M3: 1492 | M4: 1511

Time: 1.47s | Pos: (1.02836, 1.0436) | Pitch: -5.54388 | Roll: -5.61884
  PWM M1: 1491 | M2: 1490 | M3: 1508 | M4: 1509

Time: 1.5s | Pos: (1.07304, 1.08886) | Pitch: -5.52226 | Roll: -5.54466
  PWM M1: 1501 | M2: 1496 | M3: 1498 | M4: 1503

Time: 1.53s | Pos: (1.11856, 1.13493) | Pitch: -5.45091 | Roll: -5.25315
  PWM M1: 1507 | M2: 1487 | M3: 1492 | M4: 1512

Time: 1.56s | Pos: (1.16488, 1.1818) | Pitch: -5.16165 | Roll: -5.21386
  PWM M1: 1491 | M2: 1489 | M3: 1508 | M4: 1510

Time: 1.59s | Pos: (1.21198, 1.22946) | Pitch: -5.12466 | Roll: -5.1253
  PWM M1: 1501 | M2: 1495 | M3: 1498 | M4: 1504

Time: 1.62s | Pos: (1.25982, 1.27787) | Pitch: -4.80832 | Roll: -4.81925
  PWM M1: 1499 | M2: 1479 | M3: 1500 | M4: 1520

Time: 1.65s | Pos: (1.3084, 1.327) | Pitch: -4.75734 | Roll: -4.76589
  PWM M1: 1500 | M2: 1496 | M3: 1499 | M4: 1503

Time: 1.68s | Pos: (1.35769, 1.37682) | Pitch: -4.65481 | Roll: -4.43358
  PWM M1: 1507 | M2: 1485 | M3: 1492 | M4: 1514

Time: 1.71s | Pos: (1.40765, 1.42731) | Pitch: -4.33567 | Roll: -4.36704
  PWM M1: 1491 | M2: 1487 | M3: 1508 | M4: 1512

Time: 1.74s | Pos: (1.45827, 1.47845) | Pitch: -4.26943 | Roll: -4.24933
  PWM M1: 1501 | M2: 1493 | M3: 1498 | M4: 1506

Time: 1.77s | Pos: (1.50953, 1.53024) | Pitch: -4.1546 | Roll: -4.14539
  PWM M1: 1499 | M2: 1492 | M3: 1500 | M4: 1507

Time: 1.8s | Pos: (1.56141, 1.58264) | Pitch: -4.05292 | Roll: -4.04182
  PWM M1: 1500 | M2: 1493 | M3: 1499 | M4: 1506

Time: 1.83s | Pos: (1.6139, 1.63562) | Pitch: -3.95167 | Roll: -3.71128
  PWM M1: 1507 | M2: 1485 | M3: 1492 | M4: 1514

Time: 1.86s | Pos: (1.66694, 1.68915) | Pitch: -3.62337 | Roll: -3.63605
  PWM M1: 1491 | M2: 1486 | M3: 1508 | M4: 1513

Time: 1.89s | Pos: (1.72054, 1.74323) | Pitch: -3.55033 | Roll: -3.51201
  PWM M1: 1501 | M2: 1493 | M3: 1498 | M4: 1506

Time: 1.92s | Pos: (1.77462, 1.7978) | Pitch: -3.19843 | Roll: -3.17146
  PWM M1: 1499 | M2: 1476 | M3: 1500 | M4: 1523

Time: 1.95s | Pos: (1.82919, 1.85284) | Pitch: -3.11286 | Roll: -3.08443
  PWM M1: 1500 | M2: 1494 | M3: 1499 | M4: 1505

Time: 1.98s | Pos: (1.88418, 1.9083) | Pitch: -2.74658 | Roll: -2.7193
  PWM M1: 1499 | M2: 1475 | M3: 1500 | M4: 1524

Time: 2.01s | Pos: (1.93958, 1.96416) | Pitch: -2.64744 | Roll: -2.62075
  PWM M1: 1499 | M2: 1493 | M3: 1500 | M4: 1506

🛬 Drone đã đến vị trí mục tiêu tại thời gian 2.04s!
